USAF,WBAN,STATION NAME,ST,CALL,ELEV(M),BEGIN,END,lon,lat
720172,99999,MENA INTERMOUNTAIN,AR,KMEZ,329.0,2004-11-03T00:00:00.000000000,2005-12-31T00:00:00.000000000,-94.203,34.545
720255,99999,MIAMI MUNI,OK,KMIO,246.3,2019-08-28T00:00:00.000000000,2025-04-28T00:00:00.000000000,-94.888,36.909
720258,4997,ISEDOR IVERSON AIRPORT,MN,KHZX,374.3,2006-01-01T00:00:00.000000000,2025-05-27T00:00:00.000000000,-93.31,46.619
720258,99999,ISEDOR IVERSON,MN,KHZX,374.0,2004-05-25T00:00:00.000000000,2005-12-31T00:00:00.000000000,-93.317,46.617
720261,53976,BRIDGEPORT MUNICIPAL AR,TX,KXBP,259.4,2006-01-01T00:00:00.000000000,2025-05-28T00:00:00.000000000,-97.828,33.175
720261,99999,BRIDGEPORT MUNI,TX,KXBP,260.0,2004-05-25T00:00:00.000000000,2005-12-31T00:00:00.000000000,-97.833,33.183
720269,12982,BROOKS COUNTY AIRPORT,TX,KBKS,34.1,2006-01-01T00:00:00.000000000,2025-05-27T00:00:00.000000000,-98.121,27.207
720269,99999,BROOKS CO,TX,KBKS,34.0,2004-05-25T00:00:00.000000000,2005-12-31T00:00:00.000000000,-98.117,27.2
720271,3044,BIG SRNG MCMHN-WRKLE AR,TX,KBPG,784.3,2006-01-01T00:00:00.000000000,2025-05-27T00:00:00.000000000,-101.521,32.213
720271,99999,BIG SPRING MCMAHON,TX,KBPG,784.0,2004-05-25T00:00:00.000000000,2005-12-31T00:00:00.000000000,-101.517,32.217
720273,12981,BAY CITY MUNICIPAL AIRP,TX,KBYY,13.7,2006-01-01T00:00:00.000000000,2025-05-28T00:00:00.000000000,-95.863,28.973
720273,99999,BAY CITY MUNI,TX,KBYY,14.0,2004-05-25T00:00:00.000000000,2005-12-31T00:00:00.000000000,-95.867,28.967
720276,12983,EDINBURG INTL AIRPORT,TX,KEBG,24.4,2006-01-01T00:00:00.000000000,2025-05-28T00:00:00.000000000,-98.129,26.442
720276,99999,EDINBURG INTL,TX,KEBG,23.0,2004-05-25T00:00:00.000000000,2005-12-31T00:00:00.000000000,-98.122,26.442
720281,53969,WILBARGER CO,TX,KF05,385.6,2006-01-01T00:00:00.000000000,2013-04-30T00:00:00.000000000,-99.284,34.226
720281,99999,WILBARGER CO,TX,,385.6,2004-05-25T00:00:00.000000000,2005-12-31T00:00:00.000000000,-99.284,34.226
720283,4927,FILLMORE COUNTY AIRPORT,MN,KFKA,388.9,2006-01-01T00:00:00.000000000,2025-05-28T00:00:00.000000000,-92.18,43.677
720283,99999,FILLMORE CO,MN,KFKA,389.0,2004-05-25T00:00:00.000000000,2005-12-31T00:00:00.000000000,-92.18,43.677
720286,53977,GRANBURY MUNICIPAL ARPT,TX,KGDJ,237.1,2006-01-01T00:00:00.000000000,2025-05-27T00:00:00.000000000,-97.817,32.444
720286,99999,GRANBURY MUNI,TX,KGDJ,237.0,2004-05-25T00:00:00.000000000,2005-12-31T00:00:00.000000000,-97.817,32.45
720287,53967,GRAYSON COUNTY AIRPORT,TX,KGYI,228.3,2006-01-01T00:00:00.000000000,2025-05-27T00:00:00.000000000,-96.674,33.714
720287,99999,GRAYSON CO,TX,KGYI,228.0,2004-05-25T00:00:00.000000000,2005-12-31T00:00:00.000000000,-96.674,33.714
720291,53970,MESQUITE METROPOLITAN A,TX,KHQZ,136.3,2006-01-01T00:00:00.000000000,2025-05-27T00:00:00.000000000,-96.531,32.747
720291,99999,MESQUITE METRO,TX,KHQZ,136.0,2004-05-25T00:00:00.000000000,2005-12-31T00:00:00.000000000,-96.533,32.75
720293,4989,INDEPENDENCE MUNICIPAL,IA,KIIB,298.1,2006-01-01T00:00:00.000000000,2025-05-27T00:00:00.000000000,-91.948,42.453
720293,99999,INDEPENDENCE MUNI,IA,KIIB,298.0,2004-05-25T00:00:00.000000000,2005-12-31T00:00:00.000000000,-91.95,42.45
720295,53972,HILLSBORO MUNICIPAL ARP,TX,KINJ,208.8,2006-01-01T00:00:00.000000000,2025-05-27T00:00:00.000000000,-97.097,32.084
720295,99999,HILLSBORO MUNI,TX,KINJ,209.0,2004-05-25T00:00:00.000000000,2005-12-31T00:00:00.000000000,-97.1,32.083
720296,53945,JASPER COUNTY-BELL FLD,TX,KJAS,64.9,2006-01-01T00:00:00.000000000,2025-05-28T00:00:00.000000000,-94.035,30.886
720296,99999,JASPER CO BELL FLD,TX,KJAS,65.0,2004-05-25T00:00:00.000000000,2005-12-31T00:00:00.000000000,-94.035,30.886
720298,53971,CHEROKEE COUNTY AIRPORT,TX,KJSO,206.4,2006-01-01T00:00:00.000000000,2025-05-28T00:00:00.000000000,-95.218,31.869
720298,99999,JACKSONVILLE,TX,KJSO,206.0,2004-05-25T00:00:00.000000000,2005-12-31T00:00:00.000000000,-95.217,31.867
720299,53966,MID-WAY REGIONAL AIRPOR,TX,KJWY,228.3,2006-01-01T00:00:00.000000000,2025-05-27T00:00:00.000000000,-96.913,32.456
720299,99999,MIDLOTHIAN/WAXAHATC,TX,KJWY,217.0,2004-05-25T00:00:00.000000000,2005-12-31T00:00:00.000000000,-96.917,32.45
720302,53963,CRKVIL-RED RIVER CO ARP,TX,KLBR,134.1,2006-01-01T00:00:00.000000000,2017-03-26T00:00:00.000000000,-95.064,33.593
720302,99999,CLARKSVILLE RED RIVE,TX,KLBR,134.0,2004-05-25T00:00:00.000000000,2005-12-31T00:00:00.000000000,-96.064,33.593
720303,53973,HEARNE MUNICIPAL AIRPOR,TX,KLHB,86.9,2006-01-01T00:00:00.000000000,2025-05-27T00:00:00.000000000,-96.622,30.872
720303,99999,HEARNE MUNI,TX,KLHB,87.0,2004-05-25T00:00:00.000000000,2005-12-31T00:00:00.000000000,-96.617,30.867
720305,53964,DECATUR MUNICIPAL AIRPO,TX,KLUD,319.1,2006-01-01T00:00:00.000000000,2025-05-28T00:00:00.000000000,-97.581,33.254
720305,99999,DECATUR MUNI,TX,KLUD,319.0,2004-05-25T00:00:00.000000000,2005-12-31T00:00:00.000000000,-97.583,33.25
720306,53879,LEE'S SUMMIT MUNICIPAL,MO,KLXT,304.8,2006-01-01T00:00:00.000000000,2025-05-27T00:00:00.000000000,-94.371,38.958
720306,99999,LEE'S SUMMIT,MO,KLXT,306.0,2004-05-25T00:00:00.000000000,2005-12-31T00:00:00.000000000,-94.373,38.956
720308,4992,MILLARD AIRPORT,NE,KMLE,319.7,2006-01-01T00:00:00.000000000,2025-05-27T00:00:00.000000000,-96.112,41.196
720308,99999,MILLARD,NE,KMLE,320.0,2004-05-25T00:00:00.000000000,2005-12-31T00:00:00.000000000,-96.112,41.196
720309,4947,MOUNT PLEASANT MUNI ARP,IA,KMPZ,223.7,2006-01-01T00:00:00.000000000,2025-05-27T00:00:00.000000000,-91.511,40.947
720309,99999,MT PLEASANT MUNI,IA,KMPZ,224.0,2004-05-25T00:00:00.000000000,2005-12-31T00:00:00.000000000,-91.517,40.95
720311,53962,MOUNT PLEASANT RGNL ARP,TX,KOSA,110.6,2006-01-01T00:00:00.000000000,2025-05-28T00:00:00.000000000,-94.961,33.096
720311,99999,MT PLEASANT,TX,KOSA,111.0,2004-05-25T00:00:00.000000000,2005-12-31T00:00:00.000000000,-94.967,33.1
720312,4964,PELLA MUNICIPAL AIRPORT,IA,KPEA,269.8,2006-01-01T00:00:00.000000000,2025-05-28T00:00:00.000000000,-92.946,41.4
720312,99999,PELLA MUNI,IA,KPEA,270.0,2004-05-25T00:00:00.000000000,2005-12-31T00:00:00.000000000,-92.95,41.4
720313,3052,PERRY LEFORS FIELD AIRP,TX,KPPA,989.1,2006-01-01T00:00:00.000000000,2025-05-27T00:00:00.000000000,-100.996,35.613
720313,99999,PERRY LEFORS FLD,NM,KPPA,989.0,2004-05-25T00:00:00.000000000,2005-12-31T00:00:00.000000000,-100.983,35.617
720314,93983,PALESTINE MUNICIPAL ARP,TX,KPSN,128.9,2006-01-01T00:00:00.000000000,2025-05-28T00:00:00.000000000,-95.706,31.78
720314,99999,PALESTINE MUNI,TX,KPSN,129.0,2004-05-25T00:00:00.000000000,2005-12-31T00:00:00.000000000,-95.7,31.783
720315,3045,PERRYTON OCHILTREE CO A,TX,KPYX,889.4,2006-01-01T00:00:00.000000000,2025-05-27T00:00:00.000000000,-100.75,36.414
720315,99999,PERRYTON OCHILTREE,TX,KPYX,889.0,2004-05-25T00:00:00.000000000,2005-12-31T00:00:00.000000000,-100.75,36.417
720316,12984,NUECES COUNTY ARIPORT,TX,KRBO,24.1,2006-01-01T00:00:00.000000000,2025-05-27T00:00:00.000000000,-97.691,27.779
720316,99999,UECES CO,TX,KRBO,24.0,2004-07-16T00:00:00.000000000,2005-12-31T00:00:00.000000000,-97.683,27.783
720318,53965,GRAHAM MUNICIPAL AIRPOR,TX,KRPH,342.3,2006-01-01T00:00:00.000000000,2025-05-27T00:00:00.000000000,-98.555,33.11
720318,99999,GRAHAM MUNI,TX,KRPH,342.0,2004-05-25T00:00:00.000000000,2005-12-31T00:00:00.000000000,-98.555,33.11
720320,53981,CLEBURNE MUNICIPAL AIRP,TX,KCPT,260.3,2006-01-01T00:00:00.000000000,2025-05-28T00:00:00.000000000,-97.434,32.354
720320,99999,CLEBURNE MUNI,TX,KCPT,260.0,2004-08-03T00:00:00.000000000,2005-12-31T00:00:00.000000000,-97.433,32.35
720323,93947,GILLESPIE CO,TX,KT82,516.6,2006-01-01T00:00:00.000000000,2025-05-28T00:00:00.000000000,-98.91,30.243
720323,99999,GILLESPIE CO,TX,,516.6,2004-05-25T00:00:00.000000000,2005-12-31T00:00:00.000000000,-98.909,30.243
720326,4981,VINTON VETERANS MEMORIA,IA,KVTI,257.6,2006-01-01T00:00:00.000000000,2025-05-27T00:00:00.000000000,-92.026,42.219
720326,99999,VINTON VETERANS MEM,IA,KVTI,258.0,2004-05-25T00:00:00.000000000,2005-12-31T00:00:00.000000000,-92.033,42.217
720327,4995,MENOMONIE MUNICIPAL AIR,WI,KLUM,272.8,2006-01-01T00:00:00.000000000,2025-05-27T00:00:00.000000000,-91.868,44.892
720327,99999,MENOMONIE AFLD,WI,KLUM,273.0,2004-05-25T00:00:00.000000000,2005-12-31T00:00:00.000000000,-91.867,44.883
720331,99999,KENNETT MEM,MO,KTKX,79.9,2015-12-10T00:00:00.000000000,2025-05-25T00:00:00.000000000,-90.037,36.226
720332,99999,HAROLD DAVIDSON FLD,SD,KVMR,349.6,2024-11-26T00:00:00.000000000,2025-05-25T00:00:00.000000000,-96.934,42.765
720338,99999,FORT SCOTT MUNI,KS,KFSK,279.8,2022-05-19T00:00:00.000000000,2025-05-25T00:00:00.000000000,-94.769,37.798
720342,53947,WATONGA AIRPORT,OK,KJWG,471.8,2006-01-01T00:00:00.000000000,2025-05-28T00:00:00.000000000,-98.421,35.864
720342,99999,WATONGA RGNL,OK,KJWG,472.0,2004-11-09T00:00:00.000000000,2005-12-31T00:00:00.000000000,-98.421,35.867
720344,54920,CHEROKEE MUNICIPAL AIRP,IA,KCKP,373.7,2006-01-01T00:00:00.000000000,2025-05-28T00:00:00.000000000,-95.556,42.732
720344,99999,CHEROKEE MUNI,IA,KCKP,374.0,2005-04-06T00:00:00.000000000,2005-12-31T00:00:00.000000000,-95.55,42.733
720351,54919,OSKALOOSA MUNICIPAL AIR,IA,KOOA,256.0,2006-01-01T00:00:00.000000000,2025-05-27T00:00:00.000000000,-92.491,41.226
720351,99999,OSKALOOSA MUNI,IA,KOOA,256.0,2005-05-07T00:00:00.000000000,2005-12-31T00:00:00.000000000,-92.5,41.233
720357,53993,CUSHING MUNICIPAL AIRPO,OK,KCUH,279.2,2006-01-01T00:00:00.000000000,2025-05-28T00:00:00.000000000,-96.773,35.95
720357,99999,CUSHING MUNI,OK,KCUH,279.0,2005-06-11T00:00:00.000000000,2005-12-31T00:00:00.000000000,-96.767,35.95
720386,125,WILLMAR MUNICIPAL AIRPO,MN,KBDH,344.1,2007-07-24T00:00:00.000000000,2025-05-27T00:00:00.000000000,-95.133,45.117
720386,99999,WILLMAR MUNI,MN,KBDH,343.0,2005-01-01T00:00:00.000000000,2008-12-31T00:00:00.000000000,-95.133,45.117
720387,99999,HOBBS,NM,KHBB,1130.0,2007-04-01T00:00:00.000000000,2012-02-27T00:00:00.000000000,-103.217,32.767
720396,99999,TP MCCAMPBELL,TX,,5.5,2007-05-21T00:00:00.000000000,2007-07-17T00:00:00.000000000,-97.212,27.913
720402,99999,SKYHAVEN,MO,K9K4,242.3,2007-06-28T00:00:00.000000000,2008-01-06T00:00:00.000000000,-93.803,38.784
720403,99999,KICKAPOO DOWNTOWN AIRPA,TX,KT47,304.2,2007-06-28T00:00:00.000000000,2007-10-15T00:00:00.000000000,-98.49,33.858
720417,99999,JOHNSON (STANTON CO MUN,KS,K2K3,1013.5,2016-03-02T00:00:00.000000000,2025-05-25T00:00:00.000000000,-101.733,37.583
720423,99999,WELLINGTON MUNI,KS,KEGT,388.0,2022-01-30T00:00:00.000000000,2025-05-25T00:00:00.000000000,-97.388,37.324
720424,99999,CAMP RED DEVIL,CO,K1PW,1816.9,2013-11-19T00:00:00.000000000,2013-11-19T00:00:00.000000000,-104.917,38.5
720425,99999,HUGOTON MUNI,KS,KHQG,954.9,2015-10-20T00:00:00.000000000,2025-05-25T00:00:00.000000000,-101.371,37.163
720431,99999,LARNED PAWNEE CO,KS,KLQR,613.0,2017-06-15T00:00:00.000000000,2018-08-28T00:00:00.000000000,-99.086,38.209
720432,99999,MCPHERSON,KS,KMPR,456.3,2022-05-09T00:00:00.000000000,2025-05-25T00:00:00.000000000,-97.691,38.352
720433,99999,NORTON MUNI,KS,KNRN,726.3,2018-10-17T00:00:00.000000000,2025-05-25T00:00:00.000000000,-99.895,39.85
720434,99999,OAKLEY MUNI,KS,KOEL,928.1,2019-04-25T00:00:00.000000000,2025-05-25T00:00:00.000000000,-100.816,39.11
720438,99999,SCOTT CITY MUNI,KS,KTQK,903.1,2019-04-29T00:00:00.000000000,2025-05-25T00:00:00.000000000,-100.885,38.474
720439,99999,ULYSSES,KS,KULS,934.8,2018-05-24T00:00:00.000000000,2025-05-25T00:00:00.000000000,-101.374,37.604
720466,99999,SUPERDOME HELIPORT,LA,KVSH,15.2,2012-07-26T00:00:00.000000000,2015-01-28T00:00:00.000000000,-90.083,29.95
720475,99999,NORTHWEST MISSOURI RGNL,MO,KEVU,350.5,2017-01-05T00:00:00.000000000,2025-05-25T00:00:00.000000000,-94.915,40.353
720477,99999,FLOYD W JONES LEBANON,MO,KLBO,402.6,2017-06-30T00:00:00.000000000,2025-05-25T00:00:00.000000000,-92.652,37.648
720478,99999,LAWRENCE SMITH MEM,MO,KLRY,278.9,2016-12-16T00:00:00.000000000,2025-05-25T00:00:00.000000000,-94.342,38.611
720482,99999,OMAR N BRADLEY,MO,KMBY,264.3,2017-09-24T00:00:00.000000000,2025-05-25T00:00:00.000000000,-92.427,39.464
720483,99999,MARSHALL MEM MUNI,MO,KMHL,237.4,2014-12-02T00:00:00.000000000,2025-05-25T00:00:00.000000000,-93.203,39.096
720484,99999,MEXICO MEM,MO,KMYJ,250.9,2016-04-26T00:00:00.000000000,2025-05-15T00:00:00.000000000,-91.818,39.158
720487,99999,WARSAW MUNI,MO,KRAW,285.3,2017-09-08T00:00:00.000000000,2025-03-25T00:00:00.000000000,-93.345,38.347
720489,99999,SULLIVAN RGNL,MO,KUUV,284.4,2022-11-09T00:00:00.000000000,2025-05-24T00:00:00.000000000,-91.164,38.233
720491,150,GWINNER ROGER MELROE FI,ND,KGWR,386.2,2014-07-01T00:00:00.000000000,2025-05-27T00:00:00.000000000,-97.633,46.217
720491,99999,GWINNER ROGER MELROE FL,ND,KGWR,385.9,2010-12-27T00:00:00.000000000,2014-06-30T00:00:00.000000000,-97.643,46.219
720511,99999,BRITTON MUNI,SD,KBTN,401.7,2021-09-14T00:00:00.000000000,2025-05-25T00:00:00.000000000,-97.743,45.815
720579,99999,LAJITAS INTL ARPT,TX,KT89,802.0,2008-08-25T00:00:00.000000000,2025-05-25T00:00:00.000000000,-103.687,29.278
720582,99999,TODD FLD,MN,,406.3,2008-07-21T00:00:00.000000000,2013-04-30T00:00:00.000000000,-94.874,45.899
720583,99999,LAKE ELMO,MN,,284.1,2008-07-21T00:00:00.000000000,2013-04-30T00:00:00.000000000,-92.856,44.997
720585,99999,ELBOW LAKE MUNI,MN,,367.0,2008-07-21T00:00:00.000000000,2013-04-30T00:00:00.000000000,-95.992,45.986
720619,99999,FRANCIS E WARREN AFB HE,WY,KFEW,1877.6,2009-04-23T00:00:00.000000000,2025-05-25T00:00:00.000000000,-104.867,41.133
720622,99999,BOWIE MUNI,TX,,335.6,2009-03-20T00:00:00.000000000,2013-04-30T00:00:00.000000000,-97.776,33.602
720626,213,PAMPA MESA VISTA AIRPOR,TX,KBPC,845.2,2009-03-26T00:00:00.000000000,2025-05-27T00:00:00.000000000,-101.033,35.883
720626,99999,PAMPA M VISTA,TX,KBPC,845.0,2009-03-13T00:00:00.000000000,2009-03-25T00:00:00.000000000,-101.033,35.883
720628,215,CLARENCE E PAGE MUNICIP,OK,KRCE,413.0,2009-03-26T00:00:00.000000000,2025-05-28T00:00:00.000000000,-97.817,35.483
720628,99999,OKLAHOMA CITY/PAGE,OK,KRCE,413.0,2009-03-12T00:00:00.000000000,2009-03-25T00:00:00.000000000,-97.817,35.483
720636,222,CLINTON MEMORIAL AIRPOR,MO,KGLY,251.2,2009-05-11T00:00:00.000000000,2025-05-27T00:00:00.000000000,-93.683,38.35
720636,99999,CLINTON MEM,MO,KGLY,250.5,2009-05-08T00:00:00.000000000,2009-05-10T00:00:00.000000000,-93.684,38.357
720641,99999,SCHRIEVER AFB,CO,KSHM,1899.5,2012-10-18T00:00:00.000000000,2025-05-25T00:00:00.000000000,-104.517,38.8
720642,99999,CHEYENNE MTN AS,CO,KCWN,2114.0,2012-11-20T00:00:00.000000000,2025-05-25T00:00:00.000000000,-104.85,38.75
720643,54940,FOREST CITY MUNICIPAL A,IA,KFXY,374.6,2009-07-14T00:00:00.000000000,2025-05-28T00:00:00.000000000,-93.624,43.235
720643,99999,FOREST CITY MUNI,IA,KFXY,375.0,2009-07-02T00:00:00.000000000,2009-07-13T00:00:00.000000000,-93.783,43.233
720654,99999,CORNING MUNI,AR,,89.3,2009-07-01T00:00:00.000000000,2013-04-30T00:00:00.000000000,-90.648,36.404
720657,99999,HINCKLEY/FIELD OF DREAM,MN,,311.0,2009-11-11T00:00:00.000000000,2013-04-30T00:00:00.000000000,-92.895,46.023
720658,99999,SAUK CENTRE MUNI,MN,,379.2,2009-11-11T00:00:00.000000000,2013-04-30T00:00:00.000000000,-94.933,45.707
720663,99999,VIROQUA MUNI,WI,,393.8,2009-12-16T00:00:00.000000000,2013-04-30T00:00:00.000000000,-90.913,43.579
720665,243,MAGNOLIA OIL PLATFORM,LA,KGBK,224.0,2009-12-29T00:00:00.000000000,2025-05-27T00:00:00.000000000,-92.2,27.2
720665,99999,OIL PLATFORM/MAGNOLIA,LA,KGBK,223.7,2009-12-17T00:00:00.000000000,2009-12-28T00:00:00.000000000,-92.2,27.2
720666,244,SHIP SHOAL OIL PLATFORM,LA,KSPR,224.0,2009-12-29T00:00:00.000000000,2020-02-22T00:00:00.000000000,-91.2,28.6
720666,99999,OIL PLATFORM/SHIP SHOAL,LA,KSPR,223.7,2009-12-17T00:00:00.000000000,2009-12-28T00:00:00.000000000,-91.2,28.6
720668,246,EAST BREAKS OIL PLATFOR,TX,KEMK,224.0,2009-12-29T00:00:00.000000000,2022-04-17T00:00:00.000000000,-94.317,27.817
720668,99999,OIL PLATFORM/EAST BREAK,TX,KEMK,223.7,2009-12-17T00:00:00.000000000,2009-12-28T00:00:00.000000000,-94.317,27.817
720684,99999,PHIFER AFLD,WY,KEAN,1455.1,2016-03-31T00:00:00.000000000,2025-05-25T00:00:00.000000000,-104.933,42.05
720701,54942,OSCEOLA MUNICIPAL AIRPO,IA,KI75,339.9,2010-03-04T00:00:00.000000000,2025-05-28T00:00:00.000000000,-93.689,41.052
